№,Область/город/район/сельский округ/село,Наименование организации,"Балансодержатель автомобиля (балансодержатель/
фактический пользователь/
форма владения:
баланс,
аренда,
лизинг,
доверительное управление)","Правоустанавливающие документы №/дата
(приказы закрепления, 
акты приема-передачи,
договоры, технический паспорт ТС аренды/лизинга)",Фактический пользователь,"По использованию
(закрепленное должностное лицо/
наличие водителя) Ф.И.О. и должность",Имеется ли приказ закрепления №/дата,Марка/модель/ год выпуска,ГРНЗГосударственныйрегистрационныйномернойзнак,Примечание
17,Алматинская область,КГУ «Центр оказания специальных социальных услуг «Шарапат»,КГУ «Центр оказания специальных социальных услуг «Шарапат» Баланс,Свидетельство о регистраций ТС,"КГУ «Центр оказания специальных социальных услуг ""Шарапат""",Муканов Е.А.  Шагиметов Д.К.,Приказ №162-ж/қ от 12.08.2022г. Приказ №215-ж/қ от 04.06.2026г.,Автомашина ГАЗ-А31R33-60,855AZ05,
18,Алматинская область,КГУ «Центр оказания специальных социальных услуг «Шарапат»,КГУ «Центр оказания специальных социальных услуг «Шарапат» Баланс,Свидетельство о регистраций ТС,"КГУ «Центр оказания специальных социальных услуг ""Шарапат""",Муканов Е.А.  Шагиметов Д.К.,Приказ №162-ж/қ от 12.08.2022г. Приказ №215-ж/қ от 04.06.2026г.,Автомашина УАЗ -39629,B059CS,на простое
19,Алматинская область,КГУ «Центр оказания специальных социальных услуг «Шарапат»,КГУ «Центр оказания специальных социальных услуг «Шарапат» Баланс,Свидетельство о регистраций ТС,"КГУ «Центр оказания специальных социальных услуг ""Шарапат""",Муканов Е.А.  Шагиметов Д.К.,Приказ №162-ж/қ от 12.08.2022г. Приказ №215-ж/қ от 04.06.2026г.,Автомашина CHEVROLET Cruze,402BF05,
20,Алматинская область,"КГУ ""Центр Аналитки Трудовых Ресурсов""","КГУ ""Центр Аналитки Трудовых Ресурсов"" Баланс","Акт приема-передачи автотранспортного средства 04 августа 2023 года,  Договор №25 от 05.11.2023года,      номер ТС ВС80007565","КГУ ""Центр аналитики трудовых ресурсов""",Абдразаков Ержан Дауталиевич,нет,Kia Sportage   год выпуска 04.08.2023,208АV05,
21,Алматинская область,КГУ «Центр социальной помощи жертвам бытового насилия»,КГУ «Центр социальной помощи жертвам бытового насилия»,Акт приема передачи автотранспортного средства к договору №33от от 06.10.2023 года,Коммунальное государственное учреждение «Центр социальной помощи жертвам бытового насилия»,Водитель :Утеков Д.М.,приказ №55- ө от 22.05.2026,Пассажирский микроавтобус JAC Sunray 2023,245AV05,-
22,Алматинская область,КГУ «Центр социальной помощи жертвам бытового насилия»,КГУ «Центр социальной помощи жертвам бытового насилия»,Акт приема передачи автотранспортного средства к договору №28 от от 07.06.2023 года,Коммунальное государственное учреждение «Центр социальной помощи жертвам бытового насилия»,Водитель :Алтайбаев М.К.,приказ №55- ө от 22.05.2026,"Автомобиль  Kia Sportage 2023года выпуска, тип кузова-Кроссовер,Комплектация-Classic",215AV05,-
23,Алматинская область,КГУ «Центр активного долголетия»,КГУ «Центр активного долголетия»,Акт приема-передачи АС по договору о госзакупках товаров  №0088/2023 от 03.10.2023г.,"КГУ ""Центр активного долголетия"" ГУ управление координации  занятости и социальных программ Алматинской области",Сакташева Ж.К. - директор (без водителя),нет,"Автомобиль JAC JS6, 01.11.2023г.",701BH05,
24,Алматинская область,КГУ «Центр активного долголетия»,КГУ «Центр активного долголетия»,Акт приема-передачи АС к договору о госзакупках товаров  №0089/2023 от 03.10.2023г.,"КГУ ""Центр активного долголетия"" ГУ управление координации  занятости и социальных программ Алматинской области",Досаев Ж.Н. - водитель,№ 205-ж      от 01.06.2026,"Автомобиль JAC Sunray Petrol 15+1, 08.11.2023г.",599AK05,
25,Алматинская область,КГУ «Центр дневного пребывания города Конаев»,КГУ «Центр дневного пребывания города Конаев»,приказ с №-32,КГУ «Центр дневного пребывания города Конаев»,Директор Кульбаева Р.Т.,приказ с №-32,Kia Sportage 2023 MX1PU81DBPK133417,863AJ05,
26,Алматинская область,"КГУ  «Центр социальной адаптации для лиц, оказавшихся в трудной жизненной ситуации»","КГУ  «Центр социальной адаптации для лиц, оказавшихся в трудной жизненной ситуации»","приказ №27 от 15.02.2024 года о принятии на баланс учреждения ,автомобиль JAC  SNRAY M(209C) 2023 года выпуска, цвет белый Технический паспорт серия:AL99998323","КГУ ""Центр социальной адаптации для лиц, оказавшихся в ТЖС""",водитель Бапанов Муратбек  Бакдавлетович,Приказ  №77/1 от 08.07.2025 года,"автомобиль JAC  SNRAY M(209C), 2023 года выпуска",708ВС05,"указанные расходы  предусмотрены  с начала 2026 года только для автомобиля  JAC  SNRAY M(209C), 2023 года выпуска"
27,Алматинская область,"КГУ  «Центр социальной адаптации для лиц, оказавшихся в трудной жизненной ситуации»","КГУ  «Центр социальной адаптации для лиц, оказавшихся в трудной жизненной ситуации»","приказ №120 от 08.06.2026 года о принятии на баланс учреждения ,автомобиль JAC  J7  2025 года выпуска, цвет белый Технический паспорт серия:AН00489413","КГУ ""Центр социальной адаптации для лиц, оказавшихся в ТЖС""",водитель Жакежанов Сырым Мухатович,Приказ  №120 от 08.06.2026 года,автомобиль JAC  J7  2025 года выпуска,350BN05,
